TITLE,PUBLISHER,STORY
"Men's Wearhouse Loss Widens On Weak Sales, Margins",RTT News,do6Vg-oWU1TOTeMhVmlSXEHyzSaoM
UPDATE 3-Men's Wearhouse stitches up deal to buy Jos. A. Bank,Reuters,do6Vg-oWU1TOTeMhVmlSXEHyzSaoM
Obamacare enrollment surpasses 4.2 million; more young adults signed up,MarketWatch,do6Vg-oWU1TOTeMhVmlSXEHyzSaoM
Men's Wearhouse To Buy Jos. A. Bank Clothiers For $1.8 Bln.,RTT News,do6Vg-oWU1TOTeMhVmlSXEHyzSaoM
TIMELINE-Men's Wearhouse seals deal to buy Jos. A. Bank,Reuters,do6Vg-oWU1TOTeMhVmlSXEHyzSaoM
CORRECTED-Men's Wearhouse seals $1.8 billion deal to buy Jos. A. Bank,Reuters,do6Vg-oWU1TOTeMhVmlSXEHyzSaoM
Men's Wearhouse Enters Into Agreement To Acquire Jos. A. Bank For $65/shr,RTT News,do6Vg-oWU1TOTeMhVmlSXEHyzSaoM
"Stock futures up, looking past China to retail sales",MarketWatch,dE1nRuMbDnCeYhMLITzsKriNPFBpM
China economic data disappoint markets,MarketWatch,dE1nRuMbDnCeYhMLITzsKriNPFBpM
"GRAINS-Soybeans near 2-week low, wheat rises for 3rd day",Reuters,dE1nRuMbDnCeYhMLITzsKriNPFBpM
Stocks Recover From Initial Weakness To Close Roughly Flat - U.S. Commentary,RTT News,dE1nRuMbDnCeYhMLITzsKriNPFBpM
"US STOCKS-Wall St little changed as Ukraine, China concerns brushed off",Reuters,dE1nRuMbDnCeYhMLITzsKriNPFBpM
US STOCKS-Wall St cuts losses as diplomacy ramps up in Ukraine,Reuters,dE1nRuMbDnCeYhMLITzsKriNPFBpM
CORRECTED-US STOCKS-Wall St pares losses as Ukraine concerns ease,Reuters,dE1nRuMbDnCeYhMLITzsKriNPFBpM
Major Averages Move To The Downside In Early Trading,RTT News,dE1nRuMbDnCeYhMLITzsKriNPFBpM
Risk Aversion Intensifies Amid Uncertainty,RTT News,dE1nRuMbDnCeYhMLITzsKriNPFBpM
Stocks May See Further Downside In Early Trading - US Commentary,RTT News,dE1nRuMbDnCeYhMLITzsKriNPFBpM
US STOCKS-Wall St to open lower as China concerns mount,Reuters,dE1nRuMbDnCeYhMLITzsKriNPFBpM
US STOCKS-Futures fall as China concerns mount,Reuters,dE1nRuMbDnCeYhMLITzsKriNPFBpM
"PRECIOUS-Gold up at 6-month high as Ukraine, China prompt safe-haven bids",Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"PRECIOUS-Gold near 6-mth high as Ukraine, China prompt safe-haven bids",Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"Gold up 1.3 percent to highest since September on China, Ukraine",Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"Gold Surges To 6-Month High, Ends Above $1370",RTT News,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"PRECIOUS-Gold up 1.3 pct to highest since Sept on China, Ukraine",Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
Gold futures mark highest close in six months,MarketWatch,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
PRECIOUS-Gold holds gains near 4-month high on safe-haven demand,Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
Gold Ends Higher On Ukraine Concerns,RTT News,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
Gold gains for second straight session,MarketWatch,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"PRECIOUS-Gold rises on concern over Ukraine crisis, Chinese growth",Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"PRECIOUS-Gold firm on fund inflows; China, Ukraine worries support",Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"PRECIOUS-Gold flat; Ukraine, weak Chinese export seen supporting",Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
PRECIOUS-Gold prices climb as tensions over Ukraine intensify,Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"PRECIOUS-Gold drops as US growth optimism weighs, China sells",Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"PRECIOUS-Gold falls for 2nd session, US growth optimism weighs",Reuters,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"Gold futures lose 1%, but gain for the week",MarketWatch,dd-ja3A1HzLxsTMnYm_Zo9l7RZAHM
"Stocks to Watch: Herbalife, Dollar General, Aeropostale",MarketWatch,dey1wWSDFLloFaMb4H5WhUu2P5biM
Federal Trade Commission Launches Civil Probe Into Herbalife,RTT News,dey1wWSDFLloFaMb4H5WhUu2P5biM
UPDATE 3-Herbalife says US FTC opens inquiry long sought by Ackman,Reuters,dey1wWSDFLloFaMb4H5WhUu2P5biM
UPDATE 2-Herbalife says US FTC opens inquiry long sought by Ackman,Reuters,dey1wWSDFLloFaMb4H5WhUu2P5biM
Federal probe is latest twist in Herbalife saga,MarketWatch,dey1wWSDFLloFaMb4H5WhUu2P5biM
UPDATE 2-Ackman accuses Herbalife of breaking laws in China,Reuters,dey1wWSDFLloFaMb4H5WhUu2P5biM
UPDATE 1-Ackman accuses Herbalife of breaking laws in China,Reuters,dey1wWSDFLloFaMb4H5WhUu2P5biM
Ackman outspent by Herbalife in lobbying battle,Reuters,dey1wWSDFLloFaMb4H5WhUu2P5biM
Bouygues raises bid for Vivendi unit,MarketWatch,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
Deals of the day- Mergers and acquisitions,Reuters,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
UPDATE 1-Bouygues raises bid for Vivendi's SFR to shut out Numericable,Reuters,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
Bouygues confirms improved offer for Vivendi's SFR,Reuters,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
Bouygues Boosts Offer For Vivendi's SFR Unit By EUR 1 Bln,RTT News,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
French and Benelux stocks-Factors to watch on March 13,Reuters,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
Bouygues board meets to approve improved SFR bid-sources,Reuters,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
DEALTALK-Vivendi hunts for the right telecom exit,Reuters,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
Numericable won't raise bid for Vivendi's SFR,MarketWatch,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
Numericable sees SFR synergies in 2014; criticises Bouygues bid,Reuters,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
UPDATE 1-French cable group Numericable keeps mid-term targets,Reuters,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
French cable group Numericable keeps mid-term targets,Reuters,d1BKBxE-TXmBEpMnaYAKMFw9iuqVM
Eurozone Inflation Slows In February,RTT News,dqO3oaCsbs8_Y0Ma_iuUkCYtlIz4M
Euro zone inflation drops back to lowest ever level in February,Reuters,dqO3oaCsbs8_Y0Ma_iuUkCYtlIz4M
Euro-zone inflation rate revised down to 0.7%,MarketWatch,dqO3oaCsbs8_Y0Ma_iuUkCYtlIz4M
European Economics Preview: Eurozone Final Inflation Data Due,RTT News,dqO3oaCsbs8_Y0Ma_iuUkCYtlIz4M
"US Consumer Prices Tick Up 0.1% In February, In Line With Estimates",RTT News,d4z586k7VjuFfYMB86gHVHgDcH7cM
U.S. Consumer Prices Rise In Line With Economist Estimates,RTT News,d4z586k7VjuFfYMB86gHVHgDcH7cM
WRAPUP 1-US inflation muted despite food price increases; housing starts slip,Reuters,d4z586k7VjuFfYMB86gHVHgDcH7cM
Consumer prices edge up in February as food prices jump,MarketWatch,d4z586k7VjuFfYMB86gHVHgDcH7cM
Consumer prices edge up 0.1% in February,MarketWatch,d4z586k7VjuFfYMB86gHVHgDcH7cM
UPDATE 1-Wal-Mart entry into used videogames trade threatens GameStop,Reuters,dDImFpjDxzjN3bMLwlq2ItFmFxWSM
Trade in your Call of Duty for diapers,MarketWatch,dDImFpjDxzjN3bMLwlq2ItFmFxWSM
GameStop drops; Hertz moves ahead with spinoff,MarketWatch,dDImFpjDxzjN3bMLwlq2ItFmFxWSM
Wal-Mart Stores To Enter Used Videogame Market,RTT News,dDImFpjDxzjN3bMLwlq2ItFmFxWSM
"BMW Sees Significant Increase In FY14 Pre-tax Profit, Sales Volume; Shares Up",RTT News,dpsbEBDv0DM5VeMEFni_ROEVX203M
BMW sees higher profits and car sales in 2014,Reuters,dpsbEBDv0DM5VeMEFni_ROEVX203M
"BMW Sees Significant Rise In FY Group Pre-tax Profit, Sales Volume - Quick Facts",RTT News,dpsbEBDv0DM5VeMEFni_ROEVX203M
UPDATE 1-BMW eyes US production hike in push for sales record,Reuters,dpsbEBDv0DM5VeMEFni_ROEVX203M
BMW sees 'clear growth' in 2014 pretax profit,MarketWatch,dpsbEBDv0DM5VeMEFni_ROEVX203M
European Markets Fall On Yellen Comments,RTT News,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
"Fed may raise rates as soon as next spring, Yellen suggests",Reuters,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
Stock futures slip ahead of labor data; Lennar gains,MarketWatch,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
"Dollar upbeat on rate rise expectations, bonds fall",Reuters,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
Dollar pauses after Fed-led surge,Reuters,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
"For Janet Yellen, a single mandate now",MarketWatch,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
Asian Stocks Tumble After Fed Statement,RTT News,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
"EM ASIA FX-Yellen shock, weak yuan hit Asia FX; more losses seen",Reuters,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
FOREX-Dollar pauses after Fed-led surge,Reuters,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
Italy - Factors to watch on March 20,Reuters,dAYENP5WxlnkP9MU2yDD-4yOWUHtM
UPDATE 1-Lennar profit jumps as it sells more homes at higher prices,Reuters,dKfdYXp_oa06FjMH1vmNo466GafsM
Lennar profit rises 36 pct as it sells more homes,Reuters,dKfdYXp_oa06FjMH1vmNo466GafsM
Lennar Q1 profit climbs - quick facts,RTT News,dKfdYXp_oa06FjMH1vmNo466GafsM
"Lennar, Nike, ConAgra are Thursday's stocks to watch",MarketWatch,dKfdYXp_oa06FjMH1vmNo466GafsM
EBay Appreciates Icahn's Changed View On PayPal - Update,RTT News,dk6y3_aZG019RyMue5rnjOjxIwl3M
"UPDATE 2-Icahn changes course, urges eBay to sell 20 pct of PayPal",Reuters,dk6y3_aZG019RyMue5rnjOjxIwl3M
Carl Icahn's 80/20 vision of eBay and PayPal,MarketWatch,dk6y3_aZG019RyMue5rnjOjxIwl3M
China Mobile's annual net earnings slips 5.9%,MarketWatch,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
UPDATE 3-First annual profit drop in 14 years spurs China Mobile spending on 4G,Reuters,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
China Mobile to increase handset subsidies 26 pct in 2014,Reuters,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
"China Mobile capex to rise 22 pct in 2014, aims to sell 100 mln 4G devices",Reuters,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
"China Mobile 2013 profit falls 5.9 pct, misses estimates",Reuters,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
China Mobile Annual Profit Drops - Quick Facts,RTT News,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
UPDATE 2-China Telecom books record revenue on rapid mobile sales growth,Reuters,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
China Telecom profit up 17% on high-value signups,MarketWatch,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
China Telecom's 2014 capex to be slightly higher at 80.3 bln yuan,Reuters,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
"China Telecom Annual Profit, Revenue Rise - Quick Facts",RTT News,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
"China Telecom 2013 profit rises 17 pct, matches estimates",Reuters,dXi8Wbod2gNBPZMOWqpiSJWxtl07M
Oracle Corp. (ORCL) Is Pulling Back After Q3 Miss,RTT News,do8j0bCjY5DibxMZlDgqqxkTdZnyM
Oracle crosshairs: currency vs cloud boost,MarketWatch,do8j0bCjY5DibxMZlDgqqxkTdZnyM
UPDATE 4-Oracle quarterly results disappoint Wall St; shares fall,Reuters,do8j0bCjY5DibxMZlDgqqxkTdZnyM
Oracle Results Miss Estimates,RTT News,do8j0bCjY5DibxMZlDgqqxkTdZnyM
Oracle says new software sales rose 4 percent in third quarter,Reuters,do8j0bCjY5DibxMZlDgqqxkTdZnyM
"On Oracle earnings, media has its head in the clouds",MarketWatch,do8j0bCjY5DibxMZlDgqqxkTdZnyM
Symantec Corp. (SYMC) Plunged To A New Low After CEO Terminated,RTT News,dOYMWGWTc9yK85MZhujYJCZknTHFM
Tech stocks slip but Nasdaq ekes out weekly gain,MarketWatch,dOYMWGWTc9yK85MZhujYJCZknTHFM
UPDATE 1-Symantec CEO ouster raises questions about turnaround,Reuters,dOYMWGWTc9yK85MZhujYJCZknTHFM
Ousted Symantec CEO may get $18.5 mln in severance payment,Reuters,dOYMWGWTc9yK85MZhujYJCZknTHFM
Symantec Corp. (SYMC) Has Plunged To A New Low After CEO Ousted,RTT News,dOYMWGWTc9yK85MZhujYJCZknTHFM
UPDATE 2-Symantec fires CEO Bennett,Reuters,dOYMWGWTc9yK85MZhujYJCZknTHFM
Symantec Corp. (SYMC) Is Falling After CEO Fired,RTT News,dOYMWGWTc9yK85MZhujYJCZknTHFM
Symantec boots CEO as turnaround stalls,MarketWatch,dOYMWGWTc9yK85MZhujYJCZknTHFM
"Symantec Shunts CEO Steve Bennett, Names Michael Brown Interim Head  ...",RTT News,dOYMWGWTc9yK85MZhujYJCZknTHFM
Symantec Board Terminates Steve Bennett CEO - Quick Facts,RTT News,dOYMWGWTc9yK85MZhujYJCZknTHFM
"UPDATE 2-US Fed corrects stress test results, says most changes minor",Reuters,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
"US Fed issues corrected stress test results, says most changes minor",Reuters,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
Fed stress test weighs on B. of A.; JP Morgan jumps,MarketWatch,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
Fed stress test: Banks lose $501 bln in bad recession,MarketWatch,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
"Top 29 US Banks Pass Fed Stress Test; Zion Fails, To Resubmit Capital Plan",RTT News,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
Zions To Resubmit Capital Plan; Zions' DFAST Results Were Worse Than  ...,RTT News,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
UPDATE 3-All big US banks but one pass Fed's health test,Reuters,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
TABLE-US banks' capital ratios under Fed stress tests,Reuters,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
All but one of major US banks meet Fed's stress test hurdle,Reuters,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
RPT--US Fed to release results of financial industry health check,Reuters,dzwWTDFSd0fzZ6MYNS6Ur17aaMO3M
Another object spotted; Malaysia jet search presses on,MarketWatch,dVK7SWRI1vWEpIMDLoCD_ne0yEkyM
WRAPUP 11-China spots new possible plane debris in southern Indian Ocean,Reuters,dVK7SWRI1vWEpIMDLoCD_ne0yEkyM
China To Investigate Whether Satellite Images Of Object To Be Malaysia's MH370,RTT News,dVK7SWRI1vWEpIMDLoCD_ne0yEkyM
US stocks retreat; Nasdaq off 1%,MarketWatch,dWodkwDbYh8CP3MN40m4jTNqXmMWM
Stocks Move To The Downside After Early Buying Interest Fades - U.S.  ...,RTT News,dWodkwDbYh8CP3MN40m4jTNqXmMWM
"Major Averages Close In The Red, Nasdaq Underperforms",RTT News,dWodkwDbYh8CP3MN40m4jTNqXmMWM
US STOCKS SNAPSHOT-Wall St ends down as investors book profits,Reuters,dWodkwDbYh8CP3MN40m4jTNqXmMWM
London stocks rally after inflation data; easyJet jumps,MarketWatch,dEePOIddTFj8eLMCqmM7VsHYeu8KM
"EasyJet Now Sees Narrower-than-estimated Pre-tax Loss In H1, Stock Up",RTT News,dEePOIddTFj8eLMCqmM7VsHYeu8KM
UPDATE 2-Budget airline easyJet lifts first-half results forecast,Reuters,dEePOIddTFj8eLMCqmM7VsHYeu8KM
EasyJet Sees Narrower Pre-tax Loss In Six-month Period - Quick Facts,RTT News,dEePOIddTFj8eLMCqmM7VsHYeu8KM
Walt Disney climbs after deal; Himax sinks,MarketWatch,dBOG2P12HzMwjFMgaRWP-rTeBBF2M
"Disney To Buy Maker Studios For $500 Mln, Plus Milestones - Update",RTT News,dBOG2P12HzMwjFMgaRWP-rTeBBF2M
UPDATE 2-Disney to buy YouTube network Maker Studios for $500 mln,Reuters,dBOG2P12HzMwjFMgaRWP-rTeBBF2M
U.S. stock futures rise on Plosser's rate comments,MarketWatch,dT0w_Lo75548ZlMi-NKi_To6vvf-M
"US STOCKS-Futures edge higher after selloff, but concerns remain",Reuters,dT0w_Lo75548ZlMi-NKi_To6vvf-M
"Stock futures up ahead of confidence, housing data",MarketWatch,dT0w_Lo75548ZlMi-NKi_To6vvf-M
US stocks fall; Nasdaq skids 1.2%,MarketWatch,dT0w_Lo75548ZlMi-NKi_To6vvf-M
India Morning Call-Global Markets,Reuters,dT0w_Lo75548ZlMi-NKi_To6vvf-M
"Major Averages Close In The Red, Nasdaq Posts Substantial Loss",RTT News,dT0w_Lo75548ZlMi-NKi_To6vvf-M
Disappointing Manufacturing Data Weighs On Wall Street - US Commentary,RTT News,dT0w_Lo75548ZlMi-NKi_To6vvf-M
Treasuries Close Modestly Higher After Seeing Early Weakness,RTT News,dT0w_Lo75548ZlMi-NKi_To6vvf-M
"US STOCKS-Wall St falls, Nasdaq tumbles below 50-day moving average",Reuters,dT0w_Lo75548ZlMi-NKi_To6vvf-M
"Major Averages Firmly In The Red, Nasdaq Showing Particularly Steep Drop",RTT News,dT0w_Lo75548ZlMi-NKi_To6vvf-M
Stocks Mostly Lower Following Disappointing Manufacturing Data - U.S.  ...,RTT News,dT0w_Lo75548ZlMi-NKi_To6vvf-M
"US STOCKS-Wall St slumps, Nasdaq under 50-day moving average",Reuters,dT0w_Lo75548ZlMi-NKi_To6vvf-M
Stocks Come Under Pressure After Moving Higher At The Open - U.S. Commentary,RTT News,dT0w_Lo75548ZlMi-NKi_To6vvf-M
Major Averages Pull Back Into The Red After Initial Upward Move,RTT News,dT0w_Lo75548ZlMi-NKi_To6vvf-M
Futures Pointing To Early Strength On Wall Street,RTT News,dT0w_Lo75548ZlMi-NKi_To6vvf-M
US stocks drift lower after weak PMI,MarketWatch,dT0w_Lo75548ZlMi-NKi_To6vvf-M
UK February Inflation Lowest Since 2009,RTT News,drtnhd44qzW0MaMaJYSEh4jVEMwZM
UK House Price Inflation Accelerates In January,RTT News,drtnhd44qzW0MaMaJYSEh4jVEMwZM
"UK inflation hits new four-year low in February, house prices up sharply",Reuters,drtnhd44qzW0MaMaJYSEh4jVEMwZM
U.K. inflation falls further below BOE target of 2%,MarketWatch,drtnhd44qzW0MaMaJYSEh4jVEMwZM
"TAKE A LOOK-Asia inflation: Prices cool in Singapore, Vietnam",Reuters,drtnhd44qzW0MaMaJYSEh4jVEMwZM
Singapore February Inflation Weakens More Than Forecast,RTT News,drtnhd44qzW0MaMaJYSEh4jVEMwZM
"PRECIOUS-Gold holds above 1-month low, but US rate hike fears weigh",Reuters,df099bV_5_nKjKMqxhiVh1yCmHe3M
"PRECIOUS-Gold off 1-month low, but US rate hike fears cap gains",Reuters,df099bV_5_nKjKMqxhiVh1yCmHe3M
PRECIOUS-Gold near 1-month low on concerns over US rate rises,Reuters,df099bV_5_nKjKMqxhiVh1yCmHe3M
"PRECIOUS-Gold drops 2 pct on fund selling, US rate hike fears",Reuters,df099bV_5_nKjKMqxhiVh1yCmHe3M
"Gold tumbles as dollar gains, investors cash in",MarketWatch,df099bV_5_nKjKMqxhiVh1yCmHe3M
Gold Losing Luster Amid Rate Hike Chatter,RTT News,df099bV_5_nKjKMqxhiVh1yCmHe3M
"PRECIOUS-Bullion drops nearly 1 pct on dollar, palladium holds near 2-1/2-yr high",Reuters,df099bV_5_nKjKMqxhiVh1yCmHe3M
"PRECIOUS-Gold ticks lower, US dollar holds near peak",Reuters,df099bV_5_nKjKMqxhiVh1yCmHe3M
Data Storage Firm Box Files To Raise $250 Mln In IPO,RTT News,dETmRVJVDSq1fAMN3gKNKs0k5wFZM
Data storage firm Box files for US IPO of about $250 million,Reuters,dETmRVJVDSq1fAMN3gKNKs0k5wFZM
UPDATE 2-Data storage firm Box files for US IPO of about $250 mln,Reuters,dETmRVJVDSq1fAMN3gKNKs0k5wFZM
Box IPO details yet another money-loser,MarketWatch,dETmRVJVDSq1fAMN3gKNKs0k5wFZM
Data storage firm Box files for IPO of up to $250 mln,Reuters,dETmRVJVDSq1fAMN3gKNKs0k5wFZM
Apple Inc. (AAPL) Rose Sharply On Report Of Comcast Talks,RTT News,d8WnNUjsPLscpcMvdz_yT-W5XOYcM
Could Apple make cable TV cool again?,MarketWatch,d8WnNUjsPLscpcMvdz_yT-W5XOYcM
"Apple gains on Comcast talk, new iPhone buzz",MarketWatch,d8WnNUjsPLscpcMvdz_yT-W5XOYcM
Apple's a rare gainer as most techs tumble,MarketWatch,d8WnNUjsPLscpcMvdz_yT-W5XOYcM
"Newscast: Deal talk boosts Apple, sinks Netflix",MarketWatch,d8WnNUjsPLscpcMvdz_yT-W5XOYcM
Apple gains on reports of Comcast talks,MarketWatch,d8WnNUjsPLscpcMvdz_yT-W5XOYcM
UPDATE 1-Apple in talks with Comcast for streaming-TV service - WSJ,Reuters,d8WnNUjsPLscpcMvdz_yT-W5XOYcM
"CORRECTED-GLOBAL MARKETS-China stimulus hopes, calmer Ukraine lift  ...",Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
ECB's Liikanen - Negative deposit rates not controversial issue -WSJ,Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
ECB's Weidmann opens door to quantitative easing,Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
"Dollar gains after ECB comments, US consumer confidence data",Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
Euro Extends Decline After ECB Makuch's Comments,RTT News,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
"FOREX-Dollar gains after ECB comments, US consumer confidence data",Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
Slovak central bank slashes inflation outlook,Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
Dollar cuts gains after mixed US data,MarketWatch,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
FOREX-Euro falls as ECB steps up rhetoric about currency's strength,Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
"Pound gains against a weaker euro, flat versus dollar",Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
Euro Falls On ECB Weidmann's Comments,RTT News,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
Euro falls as ECB Weidmann says negative rates could stem firm currency,Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
Euro zone bond yields fall as US manufacturing weakening,Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
REFILE-ECB tested as push-back against bank review rules begins,Reuters,dSSoW8MbaWwbChMYTaGbQPS1Ngw0M
